name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon,COORDENADAS,BRBM,MUNICÍPIO,SITUAÇÃO,INFORMAÇÕES,OK BRBM,CAMINHÕES,VEÍCULO DE EMERGÊNCIA,VEICULOS LEVES,/,AJUDA HUMANITÁRIA,icon-offset,icon-offset-units
"ERS 348, km 32","{""@type"":""html"",""value"":""COORDENADAS: -29.57824, -53.48645<br>BRBM: 2º<br>MUNICÍPIO: Faxinal do Soturno<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Queda de cabeceira de ponte<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.57824, -53.48645",2º,Faxinal do Soturno,Bloqueio Total,Queda de cabeceira de ponte,TRUE,FALSE,FALSE,FALSE,30/04/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 348, km 37","{""@type"":""html"",""value"":""COORDENADAS: -29.5833, -53.46452<br>BRBM: 2º<br>MUNICÍPIO: Faxinal do Soturno<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Queda de cabeceira de ponte<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.5833, -53.46452",2º,Faxinal do Soturno,Bloqueio Total,Queda de cabeceira de ponte,TRUE,FALSE,FALSE,FALSE,30/04/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 348, km 49","{""@type"":""html"",""value"":""COORDENADAS: -29.630957627663225, -53.358848115492066<br>BRBM: 2º<br>MUNICÍPIO: Dona Francisca<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Ponte interditada<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 03/05/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.630957627663225, -53.358848115492066",2º,Dona Francisca,Bloqueio Total,Ponte interditada,TRUE,FALSE,FALSE,FALSE,03/05/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 348, km 51","{""@type"":""html"",""value"":""COORDENADAS: -29.642688857453503, -53.330702547671045<br>BRBM: 2º<br>MUNICÍPIO: Agudo<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Erosão do asfalto<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.642688857453503, -53.330702547671045",2º,Agudo,Bloqueio Total,Erosão do asfalto,TRUE,FALSE,FALSE,FALSE,30/04/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 348, km 64","{""@type"":""html"",""value"":""COORDENADAS: -29.671380307099955, -53.251215481249695<br>BRBM: 2º<br>MUNICÍPIO: Agudo<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 01/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.671380307099955, -53.251215481249695",2º,Agudo,Liberado,,TRUE,TRUE,TRUE,TRUE,01/05/2024,TRUE,,
"ERS 357, km 48","{""@type"":""html"",""value"":""COORDENADAS: -30.814587525874245, -53.888585756429464<br>BRBM: 2º<br>MUNICÍPIO: Lavras do Sul<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-30.814587525874245, -53.888585756429464",2º,Lavras do Sul,Liberado,,TRUE,TRUE,TRUE,TRUE,30/04/2024,TRUE,,
"ERS 400, km 18","{""@type"":""html"",""value"":""COORDENADAS: -29.550032444323673, -52.85174377451842<br>BRBM: 2º<br>MUNICÍPIO: Candelaria<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Queda de barreira<br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.550032444323673, -52.85174377451842",2º,Candelaria,Bloqueio Parcial,Queda de barreira,TRUE,TRUE,TRUE,TRUE,30/04/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 401, km 06","{""@type"":""html"",""value"":""COORDENADAS: -29.964383, -51.762755<br>BRBM: 2º<br>MUNICÍPIO: Sao Jeronimo<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Pista submersa<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: FALSE<br>/: 03/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.964383, -51.762755",2º,Sao Jeronimo,Bloqueio Parcial,Pista submersa,TRUE,FALSE,TRUE,FALSE,03/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 401, km 11 e 12","{""@type"":""html"",""value"":""COORDENADAS: -29.950848591315545, -51.565663000201596<br>BRBM: 2º<br>MUNICÍPIO: Charqueadas<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Pista submersa<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: FALSE<br>/: 03/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.950848591315545, -51.565663000201596",2º,Charqueadas,Bloqueio Parcial,Pista submersa,TRUE,FALSE,TRUE,FALSE,03/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 401, km 17 e 18","{""@type"":""html"",""value"":""COORDENADAS: -29.962397150924847, -51.65635284247657<br>BRBM: 2º<br>MUNICÍPIO: Sao Jeronimo<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Pista submersa<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: FALSE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.962397150924847, -51.65635284247657",2º,Sao Jeronimo,Bloqueio Total,Pista submersa,TRUE,FALSE,TRUE,FALSE,02/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
